aX,aY,aZ,gX,gY,gZ
-0.191,-1.281,1.248,-35.339,-253.723,61.584
-0.306,-1.081,1.440,-19.714,-241.150,116.089
-0.511,-1.143,1.373,25.513,-227.417,155.273
-0.733,-1.246,1.167,70.923,-220.154,195.679
-0.934,-1.028,1.112,123.169,-237.427,246.155
-1.014,-0.570,1.426,174.805,-274.658,284.790
-1.068,-0.067,1.658,186.951,-297.363,304.565
-1.078,0.219,1.758,149.414,-290.833,302.734
-1.098,0.130,1.800,109.680,-263.123,284.607
-0.995,-0.007,1.813,71.655,-225.586,270.264
-0.866,0.093,1.756,50.781,-183.289,268.738
-0.736,0.088,1.722,32.837,-145.142,259.216
-0.667,-0.006,1.576,15.198,-101.868,237.915
-0.624,0.017,1.480,14.160,-67.322,224.548
-0.585,0.233,1.489,22.583,-45.593,214.722
-0.583,0.261,1.561,21.362,-23.865,184.143
-0.623,0.202,1.508,7.080,9.033,148.071
-0.599,0.184,1.312,-10.681,48.340,117.432
-0.537,0.206,1.113,-23.376,77.393,89.966
-0.480,0.151,0.983,-31.921,90.393,60.974
-0.419,0.124,0.837,-36.865,94.055,36.072
-0.318,0.184,0.834,-38.086,86.487,14.893
-0.256,0.217,0.927,-33.997,75.500,-6.042
-0.223,0.108,0.998,-30.334,71.228,-28.870
-0.188,-0.004,0.979,-29.785,74.158,-48.096
-0.164,-0.215,0.946,-33.325,77.148,-64.453
-0.152,-0.409,0.962,-37.781,75.623,-72.693
-0.123,-0.513,0.952,-39.063,73.120,-68.054
-0.066,-0.490,0.904,-36.255,71.045,-54.993
-0.006,-0.412,0.901,-29.602,66.284,-41.260
0.023,-0.400,0.907,-21.545,60.974,-31.860
0.041,-0.392,0.843,-17.517,59.082,-23.682
0.051,-0.302,0.781,-13.062,55.054,-13.611
0.044,-0.218,0.735,-7.935,46.387,-6.836
0.042,-0.168,0.702,-3.662,35.034,-5.188
0.026,-0.151,0.717,-1.343,22.400,-5.554
0.008,-0.159,0.767,0.488,9.705,-6.470
-0.017,-0.229,0.854,0.366,-0.732,-8.240
-0.047,-0.287,0.916,-1.221,-6.653,-8.057
-0.071,-0.286,0.969,-2.319,-8.850,-5.493
-0.099,-0.310,1.068,-6.104,-9.338,-1.770
-0.121,-0.319,1.137,-6.226,-5.310,1.709
-0.119,-0.287,1.070,-2.930,3.174,7.324
-0.116,-0.242,0.982,0.732,9.216,11.353
-0.111,-0.180,0.948,2.319,8.667,13.062
-0.114,-0.151,0.958,1.587,5.188,11.353
-0.132,-0.158,1.011,-0.244,1.770,7.202
-0.148,-0.227,1.007,-4.150,2.319,2.563
-0.130,-0.216,0.994,-6.287,4.700,1.221
-0.103,-0.181,1.007,-4.761,4.517,1.709
-0.084,-0.173,0.994,-3.174,4.700,0.427
-0.075,-0.178,0.985,-2.136,5.005,-0.854
-0.075,-0.193,0.991,-2.075,4.272,-1.892
-0.071,-0.183,0.992,-0.610,3.296,-2.380
-0.075,-0.151,1.002,0.671,2.075,-2.625
-0.104,-0.222,1.028,0.977,2.136,-5.188
-0.108,-0.295,1.016,-1.465,4.028,-6.470
-0.087,-0.310,1.010,-3.784,5.188,-4.272
-0.087,-0.289,1.042,-4.395,4.639,-0.183
-0.091,-0.242,1.044,-3.052,4.944,2.686
-0.101,-0.186,1.015,-2.747,6.104,3.967
-0.106,-0.150,1.012,-2.991,6.592,2.808
-0.097,-0.159,0.986,-2.563,6.226,0.427
-0.089,-0.166,0.972,-2.747,6.104,-1.648
-0.091,-0.264,1.013,-3.418,4.578,-4.883
-0.094,-0.284,1.030,-4.028,4.578,-5.127
-0.088,-0.239,1.020,-1.099,5.005,-1.648
-0.082,-0.196,1.035,0.549,6.226,0.000
-0.075,-0.161,1.021,1.953,7.874,0.183
-0.087,-0.173,1.001,1.892,9.888,-0.916
-0.101,-0.220,0.978,0.732,11.780,-2.991
-0.082,-0.204,0.927,1.770,11.841,-2.930
-0.068,-0.200,0.916,3.052,8.789,-1.953
-0.066,-0.187,0.932,3.540,4.211,-2.014
-0.068,-0.194,0.950,4.028,0.000,-2.991
-0.071,-0.189,0.956,4.150,-2.869,-3.357
-0.086,-0.204,0.981,5.127,-5.127,-3.784
-0.096,-0.214,1.004,5.371,-6.042,-4.395
-0.096,-0.239,1.014,6.714,-5.920,-4.089
-0.083,-0.265,0.996,7.629,-4.333,-3.113
-0.065,-0.275,0.989,7.690,-3.967,-0.854
-0.057,-0.295,0.993,8.240,-4.456,2.014
-0.047,-0.275,0.958,9.521,-4.761,5.798
-0.046,-0.266,0.944,11.719,-6.897,9.583
-0.047,-0.296,0.947,14.221,-10.254,12.329
-0.045,-0.311,0.947,20.386,-13.489,17.212
-0.049,-0.339,0.923,31.311,-16.907,22.949
-0.057,-0.388,0.904,41.382,-20.874,29.663
-0.067,-0.411,0.854,46.875,-26.306,37.415
-0.102,-0.426,0.970,27.100,-32.837,44.128
-0.120,-0.533,1.120,25.208,-37.964,49.133
-0.132,-0.361,1.172,31.799,-31.677,71.594
-0.154,-0.381,1.303,29.236,-23.621,78.918
-0.228,-0.316,1.414,22.461,-12.573,82.214
-0.293,-0.306,1.528,15.259,0.000,79.773
-0.357,-0.336,1.632,2.808,16.052,70.435
-0.369,-0.223,1.664,-9.644,38.269,63.660
-0.366,-0.047,1.702,-21.301,61.829,53.345
-0.283,0.085,1.711,-34.302,87.097,33.386
-0.196,0.143,1.730,-54.077,112.427,9.888
-0.194,0.130,1.675,-74.768,140.259,-14.465
-0.146,0.258,1.527,-83.618,167.236,-38.025
-0.111,0.549,1.462,-89.111,187.134,-64.819
-0.161,0.671,1.425,-102.356,206.970,-104.736
-0.224,0.488,1.112,-73.669,215.149,-153.809
-0.228,0.475,1.175,-76.172,207.520,-200.134
-0.245,0.465,1.243,-108.826,209.778,-236.206
-0.309,0.218,0.973,-134.521,226.990,-269.165
-0.319,0.070,0.767,-198.853,242.493,-304.749
-0.212,-0.187,0.663,-267.700,239.685,-329.407
-0.084,-0.368,0.447,-281.555,228.210,-330.505
0.045,-0.490,0.165,-280.457,210.266,-308.899
0.169,-0.405,-0.023,-244.080,174.561,-274.292
0.308,-0.349,-0.035,-219.238,124.756,-243.347
0.399,-0.405,-0.207,-175.903,80.139,-218.994
0.450,-0.383,-0.355,-125.305,33.447,-186.829
0.485,-0.318,-0.517,-78.247,-16.357,-152.954
0.513,-0.275,-0.563,-36.011,-72.083,-128.540
0.497,-0.432,-0.481,-20.142,-132.996,-120.789

-0.654,-1.036,1.492,7.080,-327.087,144.104
-0.733,-0.828,1.644,40.283,-295.776,191.406
-0.759,-0.480,1.743,74.219,-261.597,231.812
-0.794,-0.161,1.857,96.558,-226.990,255.249
-0.852,0.003,1.911,102.783,-186.035,259.583
-0.914,0.005,1.753,111.328,-142.517,250.610
-0.960,-0.209,1.602,123.962,-112.915,234.009
-0.921,-0.258,1.506,138.733,-109.497,227.966
-0.870,0.004,1.637,171.509,-123.657,231.689
-0.720,0.013,1.898,198.120,-131.958,216.919
-0.693,-0.625,1.576,333.069,-110.779,199.890
-0.862,-0.211,1.472,452.698,-110.596,229.065
-0.797,-0.300,2.036,396.240,-147.583,231.018
-0.882,-0.297,2.242,237.732,-110.046,219.849
-0.962,-0.075,1.950,90.515,-20.386,209.229
-0.846,-0.071,1.511,12.573,52.490,170.593
-0.758,-0.200,1.243,-28.442,87.830,122.742
-0.609,-0.392,1.052,-45.654,98.572,86.548
-0.512,-0.513,1.046,-53.894,93.140,66.467
-0.479,-0.437,1.179,-64.209,82.764,62.256
-0.441,-0.349,1.275,-68.298,82.764,61.035
-0.412,-0.282,1.334,-76.904,95.154,53.345
-0.319,-0.135,1.324,-75.806,113.037,46.814
-0.295,-0.049,1.233,-77.271,129.822,37.415
-0.260,-0.060,1.091,-79.163,143.188,19.653
-0.204,-0.072,0.972,-73.486,148.193,2.625
-0.139,-0.010,0.911,-61.096,145.142,-6.226
-0.092,0.086,0.898,-46.631,137.756,-15.259
-0.035,0.110,0.900,-39.673,129.333,-30.579
0.005,0.034,0.863,-38.818,124.695,-51.147
0.037,-0.080,0.855,-34.119,124.695,-73.730
0.075,-0.149,0.769,-22.705,123.840,-91.614
0.138,-0.231,0.724,-35.706,124.390,-103.088
0.199,-0.375,0.688,-47.546,125.366,-112.305
0.222,-0.561,0.650,-48.157,123.718,-117.004
0.257,-0.658,0.556,-41.321,119.629,-105.896
0.277,-0.632,0.488,-43.213,109.375,-78.003
0.301,-0.514,0.461,-44.067,94.849,-47.363
0.321,-0.401,0.437,-41.809,78.613,-27.405
0.334,-0.320,0.437,-31.128,59.875,-18.005
0.320,-0.267,0.492,-17.334,40.161,-15.076
0.286,-0.244,0.584,-13.611,22.705,-14.893
0.223,-0.262,0.623,-14.038,10.620,-14.954
0.200,-0.319,0.701,-16.479,1.892,-14.832
0.194,-0.369,0.835,-24.963,-5.005,-15.625
0.182,-0.348,0.919,-24.780,-9.644,-12.878
0.157,-0.249,1.001,-26.306,-9.399,-8.301
0.133,-0.266,1.003,-27.588,-5.615,-9.460
0.247,-0.232,0.999,-4.517,-2.869,-13.062
0.127,-0.220,0.880,33.020,-6.775,-15.686
0.109,-0.288,0.895,54.077,-17.090,-23.132
0.118,-0.342,0.944,62.988,-28.259,-27.100
0.118,-0.361,1.024,53.589,-31.128,-27.344
0.101,-0.388,1.023,42.969,-23.804,-26.978
0.117,-0.406,0.997,32.532,-13.489,-27.039
0.129,-0.422,0.998,14.404,-5.493,-23.071
0.137,-0.398,0.947,2.625,-0.244,-16.174
0.122,-0.396,0.927,3.906,-0.793,-11.108
0.104,-0.425,1.014,0.671,-4.395,-8.484
0.090,-0.453,1.070,-3.174,-3.845,-5.005
0.088,-0.458,1.087,-5.066,1.282,0.244
0.096,-0.400,1.100,-1.953,5.981,7.935
0.098,-0.328,1.103,0.000,8.240,14.526
0.107,-0.282,1.079,-4.211,11.292,15.503
0.112,-0.279,1.070,-10.864,14.343,12.512
0.112,-0.312,1.037,-15.625,17.822,8.606
0.133,-0.326,0.990,-17.761,20.935,6.470
0.155,-0.297,0.951,-16.724,21.179,8.423
0.170,-0.263,0.917,-13.428,19.531,10.193
0.177,-0.303,0.895,-13.672,15.625,8.301
0.177,-0.385,0.913,-22.705,11.414,5.249
0.156,-0.418,0.963,-29.968,7.874,6.592
0.145,-0.402,1.001,-27.527,5.371,12.207
0.143,-0.363,0.992,-16.296,3.479,18.372
0.142,-0.331,1.011,-11.047,0.488,21.973
0.145,-0.297,1.055,-9.460,-2.136,23.071
0.144,-0.249,1.040,-3.601,-0.671,23.376
0.138,-0.187,1.003,-1.282,2.075,22.400
0.135,-0.165,0.997,-3.357,1.587,18.127
0.128,-0.176,0.993,-5.249,0.061,10.437
0.122,-0.210,0.982,-4.333,-0.671,3.967
0.126,-0.245,0.970,-1.953,-2.197,0.610
0.137,-0.288,0.955,-0.977,-3.296,-1.953
0.151,-0.313,0.956,-0.122,-3.967,-1.648
0.151,-0.328,0.977,0.916,-4.944,0.488
0.148,-0.337,0.990,0.732,-4.761,2.380
0.144,-0.325,0.986,-1.221,-3.113,5.066
0.140,-0.264,0.965,-1.282,-1.587,8.545
0.134,-0.179,0.942,0.732,-1.648,9.827
0.126,-0.140,0.934,1.587,-3.235,7.141
0.116,-0.169,0.969,0.610,-4.822,1.770
0.107,-0.230,1.008,-0.732,-5.493,-4.456
0.114,-0.256,1.029,0.244,-4.333,-6.409
0.126,-0.277,1.021,-1.526,-1.648,-6.531
0.141,-0.305,0.998,-3.723,1.953,-6.958
0.149,-0.324,0.945,-4.028,3.357,-6.226
0.154,-0.298,0.941,-4.822,1.343,-4.822
0.160,-0.264,0.966,-5.981,-2.197,-3.113
0.149,-0.248,0.953,-7.263,-3.052,-2.502
0.150,-0.235,0.947,-8.606,-3.418,-2.869
0.145,-0.226,0.971,-8.423,-5.615,-3.601
0.145,-0.239,0.987,-10.681,-6.409,-4.211
0.143,-0.241,1.010,-18.677,-5.310,-4.272
0.144,-0.255,1.043,-30.823,-3.113,-5.066
0.144,-0.272,1.017,-34.302,1.343,-5.554
0.171,-0.264,1.053,-35.522,2.808,-4.089
0.177,-0.284,1.050,-40.222,5.005,-1.709
0.156,-0.282,0.993,-53.284,10.437,1.831
0.153,-0.254,0.974,-62.500,11.475,4.761
0.148,-0.226,0.995,-57.922,8.179,5.554
0.142,-0.197,1.022,-47.668,5.066,5.371
0.153,-0.178,1.041,-42.175,4.211,5.127
0.170,-0.122,1.030,-40.222,6.165,4.395
0.182,-0.102,1.004,-39.612,7.935,2.441
0.177,-0.166,0.971,-42.725,9.094,-1.892
0.170,-0.200,0.949,-45.105,8.301,-3.235
0.162,-0.138,0.944,-40.955,5.310,0.061
0.162,-0.071,1.020,-40.283,1.709,0.916
0.146,-0.084,1.049,-41.382,1.770,-3.052

-0.495,-2.412,1.107,13.123,-294.128,63.538
-0.705,-2.269,1.430,37.964,-304.321,154.114
-0.861,-1.756,1.082,73.853,-282.166,254.395
-0.818,-0.789,0.621,134.644,-280.029,348.145
-0.711,0.028,0.819,150.818,-315.430,394.653
-0.729,0.216,0.981,125.366,-328.369,384.888
-0.830,0.127,1.053,83.557,-310.181,355.164
-0.967,0.130,1.068,59.692,-291.321,336.121
-1.166,0.128,1.200,56.824,-283.325,315.369
-1.234,0.214,1.497,56.824,-279.175,290.649
-1.334,0.216,1.906,63.599,-268.127,264.709
-1.432,-0.172,2.294,62.073,-234.497,226.379
-1.516,-0.452,2.452,46.265,-179.932,197.388
-1.502,-0.443,2.705,39.734,-127.014,191.467
-1.475,-0.336,2.615,29.480,-56.335,190.430
-1.434,-0.248,2.404,-5.981,29.297,188.904
-1.309,-0.246,2.130,-37.415,107.178,178.101
-1.149,-0.305,1.604,-78.003,180.054,161.499
-0.972,-0.214,1.320,-105.652,215.271,143.127
-0.830,0.062,1.216,-117.065,223.389,123.718
-0.703,0.145,1.128,-128.357,228.638,91.797
-0.569,0.229,1.156,-137.329,230.103,56.519
-0.491,0.499,1.229,-137.329,233.398,27.039
-0.352,0.807,1.261,-124.939,241.394,-7.324
-0.306,0.878,1.351,-110.657,251.648,-56.396
-0.324,0.832,1.392,-105.103,271.240,-116.699
-0.400,0.623,1.236,-94.360,293.213,-170.227
-0.440,0.232,0.993,-54.993,302.368,-210.815
-0.423,-0.045,0.662,-56.641,301.331,-235.596
-0.302,-0.166,0.401,-78.430,292.847,-252.808
-0.241,-0.250,0.228,-78.857,268.372,-264.099
-0.161,-0.524,0.163,-78.003,235.046,-276.184
0.009,-0.795,0.109,-75.989,200.928,-270.325
0.181,-0.816,0.024,-64.941,170.105,-235.535
