aX,aY,aZ,gX,gY,gZ
-1.234,-1.532,0.878,221.191,-341.858,-277.100
-1.324,-1.606,1.080,216.431,-294.067,-236.511
-1.387,-1.658,1.328,186.401,-237.732,-190.857
-1.407,-1.899,1.465,151.123,-172.791,-153.809
-1.370,-1.943,1.386,110.779,-91.919,-102.051
-1.241,-1.738,1.087,53.040,-9.705,-39.124
-1.002,-1.516,0.849,-5.249,48.706,10.681
-0.832,-1.370,0.630,-47.485,83.435,42.114
-0.732,-1.271,0.535,-70.923,96.436,61.890
-0.675,-1.160,0.592,-83.923,95.825,78.064
-0.660,-1.076,0.669,-93.628,96.558,90.576
-0.613,-1.187,0.812,-103.821,103.088,97.778
-0.706,-1.182,0.813,-107.422,118.103,106.628
-0.798,-1.094,0.820,-114.258,136.658,122.681
-0.840,-1.011,0.882,-118.408,152.649,140.625
-0.833,-0.920,0.859,-118.591,176.819,159.729
-0.770,-0.779,0.737,-116.577,207.092,175.232
-0.672,-0.684,0.607,-127.869,231.750,183.105
-0.563,-0.635,0.608,-176.758,248.718,182.312
-0.425,-0.585,0.453,-195.129,261.902,175.171
-0.314,-0.561,0.383,-188.782,259.766,163.391
-0.237,-0.460,0.451,-169.983,248.413,162.415
-0.174,-0.258,0.424,-143.982,242.798,166.931
-0.084,-0.045,0.219,-111.694,232.056,157.166
0.004,-0.015,0.129,-85.144,190.979,125.854
0.101,-0.054,0.454,-78.735,133.484,89.966
0.170,-0.136,0.673,-73.364,105.408,59.204
0.247,-0.181,0.658,-57.495,99.426,39.246
0.318,-0.229,0.520,-40.405,95.215,24.963
0.365,-0.288,0.455,-30.334,80.688,14.038
0.376,-0.339,0.488,-21.729,58.533,5.859
0.362,-0.366,0.549,-12.329,35.583,0.732
0.334,-0.377,0.585,-2.563,16.785,-3.296
0.291,-0.379,0.621,5.188,1.038,-6.653
0.256,-0.391,0.671,10.620,-12.146,-10.864
0.225,-0.426,0.716,13.672,-21.545,-15.991
0.191,-0.481,0.775,16.968,-27.405,-20.142
0.171,-0.542,0.844,19.775,-30.151,-21.545
0.156,-0.587,0.845,23.193,-28.076,-20.142
0.143,-0.595,0.826,24.963,-25.452,-17.151
0.134,-0.582,0.851,23.437,-26.184,-14.038
0.121,-0.598,0.903,21.362,-28.015,-13.245
0.109,-0.654,0.926,18.250,-27.039,-14.343
0.097,-0.715,0.938,13.611,-24.292,-14.221
0.094,-0.732,0.954,10.559,-21.545,-9.399
0.099,-0.696,0.933,8.484,-16.846,-1.709
0.105,-0.629,0.892,7.202,-11.292,5.798
0.114,-0.558,0.888,5.859,-8.423,10.193
0.120,-0.537,0.871,5.432,-7.080,10.315
0.109,-0.544,0.846,7.935,-6.714,7.629
0.101,-0.541,0.861,8.484,-8.484,5.249
0.098,-0.547,0.884,8.179,-10.864,2.563
0.095,-0.568,0.887,8.667,-11.902,-0.549
0.107,-0.542,0.890,16.907,-11.536,-1.892
0.108,-0.614,0.863,39.795,-12.390,-3.845
0.119,-0.598,0.878,19.104,-11.536,-2.258
0.130,-0.571,0.872,13.550,-7.385,3.113
0.130,-0.568,0.844,13.977,-5.310,4.089
0.125,-0.568,0.832,12.024,-5.188,2.930
0.117,-0.581,0.846,11.414,-8.362,1.038
0.108,-0.583,0.864,13.489,-10.376,0.061
0.102,-0.573,0.864,14.160,-9.949,0.427
0.102,-0.576,0.872,13.367,-9.399,-0.427
0.094,-0.604,0.867,14.832,-8.911,-2.930
0.092,-0.627,0.862,15.869,-9.033,-4.333
0.092,-0.626,0.862,14.282,-9.155,-3.784
0.090,-0.619,0.859,13.977,-9.277,-3.296
0.089,-0.605,0.860,13.245,-9.216,-3.357
0.086,-0.596,0.848,16.113,-9.766,-4.517
0.084,-0.599,0.850,19.043,-11.353,-7.141
0.082,-0.603,0.843,21.545,-12.634,-10.193
0.080,-0.607,0.839,23.315,-13.550,-12.695
0.074,-0.612,0.839,23.865,-14.465,-14.160
0.073,-0.613,0.842,24.292,-15.076,-15.625
0.077,-0.621,0.836,24.841,-15.320,-16.724
0.077,-0.632,0.818,25.818,-14.648,-17.029
0.078,-0.634,0.815,24.780,-13.916,-15.015
0.078,-0.632,0.820,20.447,-12.512,-11.719
0.074,-0.625,0.818,15.198,-10.071,-8.301
0.071,-0.626,0.809,10.559,-7.935,-6.287
0.060,-0.628,0.802,7.751,-7.141,-5.249
0.057,-0.630,0.811,5.066,-7.568,-4.517
0.054,-0.637,0.820,5.066,-8.057,-4.578
0.052,-0.646,0.818,6.104,-8.057,-4.944
0.054,-0.650,0.827,4.700,-7.751,-4.333
0.052,-0.658,0.831,3.052,-6.775,-3.235
0.048,-0.666,0.828,2.075,-5.432,-1.770
0.046,-0.671,0.820,0.610,-4.333,0.183
0.041,-0.663,0.820,-1.282,-4.089,2.808
0.032,-0.635,0.826,-2.258,-3.906,5.615
0.028,-0.607,0.833,-2.319,-3.540,6.226
0.024,-0.605,0.825,0.977,-3.113,3.723
0.021,-0.618,0.824,2.808,-3.235,0.183
0.023,-0.641,0.835,-0.305,-2.991,-2.563
0.028,-0.648,0.857,-2.136,-1.282,-4.395
0.019,-0.663,0.838,0.000,1.770,-6.042
0.004,-0.686,0.836,4.272,2.563,-6.958
0.007,-0.665,0.809,15.686,-0.061,-4.089
0.018,-0.628,0.805,17.944,-3.357,-1.648
0.014,-0.631,0.804,18.616,-4.761,-3.906
0.012,-0.646,0.801,15.930,-4.944,-5.859
0.024,-0.652,0.801,7.996,-4.028,-5.066
0.031,-0.654,0.797,1.526,-2.197,-2.747
0.030,-0.642,0.795,-0.732,-0.366,-0.427
0.034,-0.629,0.792,-1.343,0.244,1.038
0.030,-0.643,0.809,-3.174,0.305,0.427
0.023,-0.670,0.815,-4.150,1.526,-0.305
0.021,-0.667,0.813,-6.348,2.930,1.526
0.025,-0.644,0.809,-9.583,4.028,3.662
0.028,-0.645,0.815,-10.010,3.662,3.235
0.037,-0.646,0.808,-8.362,2.502,2.319
0.042,-0.662,0.820,-9.521,1.709,2.380
0.039,-0.670,0.828,-8.545,1.343,3.784
0.040,-0.650,0.817,-5.371,0.977,6.531
0.046,-0.627,0.818,-4.089,-0.244,8.301
0.051,-0.578,0.820,-2.441,-1.770,8.484
0.041,-0.575,0.813,3.235,-3.540,4.211
0.037,-0.612,0.801,8.850,-4.639,-1.770
0.025,-0.637,0.796,12.573,-5.432,-4.089

-0.899,-1.327,0.818,195.190,-227.051,-243.896
-0.940,-1.479,0.985,183.044,-202.209,-219.421
-0.933,-1.605,1.081,163.025,-165.100,-184.509
-0.880,-1.661,1.109,134.338,-118.286,-141.174
-0.817,-1.694,1.061,100.281,-68.726,-94.177
-0.758,-1.665,0.945,63.782,-23.315,-45.593
-0.685,-1.555,0.834,26.367,12.573,1.587
-0.615,-1.456,0.755,-12.024,39.124,40.283
-0.598,-1.417,0.736,-46.021,54.321,67.139
-0.622,-1.347,0.759,-64.636,59.937,89.355
-0.646,-1.223,0.787,-80.994,65.063,108.582
-0.699,-1.164,0.852,-110.229,74.097,117.615
-0.729,-1.165,0.872,-129.150,86.853,121.094
-0.745,-1.176,0.854,-128.540,106.262,127.441
-0.742,-1.087,0.799,-130.188,131.165,143.555
-0.717,-0.929,0.676,-130.554,156.311,163.025
-0.659,-0.760,0.528,-130.676,175.659,174.561
-0.583,-0.617,0.467,-135.254,182.495,175.659
-0.486,-0.525,0.455,-134.094,179.993,167.847
-0.372,-0.474,0.413,-124.634,175.232,156.006
-0.248,-0.411,0.387,-117.920,167.847,142.944
-0.144,-0.367,0.426,-116.516,153.992,127.197
-0.073,-0.359,0.488,-111.755,137.817,109.802
-0.008,-0.349,0.519,-101.685,124.023,94.666
0.062,-0.338,0.553,-86.060,109.314,80.811
0.109,-0.361,0.581,-70.129,91.431,65.063
0.121,-0.443,0.634,-59.570,74.829,47.729
0.103,-0.518,0.716,-50.232,60.181,36.499
0.089,-0.534,0.745,-38.269,50.476,33.203
0.094,-0.520,0.739,-28.442,45.410,32.471
0.099,-0.520,0.714,-21.301,42.053,29.785
0.100,-0.508,0.721,-16.785,36.377,25.635
