aX,aY,aZ,gX,gY,gZ
-0.303,-1.138,1.007,40.344,-7.019,249.390
-0.186,-0.506,1.110,62.744,-29.907,322.693
-0.144,-0.320,1.175,63.049,-31.921,341.919
-0.187,-0.175,1.217,50.232,-26.794,346.191
-0.159,0.302,1.134,33.325,-16.174,357.849
-0.081,0.596,1.011,15.198,-9.155,337.524
-0.059,0.726,0.877,6.958,-12.939,297.180
-0.097,0.636,0.903,-3.479,-26.062,247.864
-0.118,0.606,0.923,-13.306,-37.842,203.369
-0.123,0.501,0.963,-15.564,-45.044,162.659
-0.125,0.406,1.014,-13.184,-49.500,128.906
-0.123,0.327,1.023,-9.399,-49.011,102.295
-0.109,0.226,1.077,-6.287,-47.546,80.933
-0.083,0.074,1.110,-1.770,-43.701,65.186
-0.066,0.033,1.104,3.662,-37.415,55.542
-0.042,0.018,1.131,9.338,-31.006,49.500
-0.007,0.045,1.114,10.864,-21.667,45.410
-0.024,0.069,1.040,11.292,-11.780,40.833
-0.028,0.089,1.016,11.169,-7.141,34.302
-0.048,0.033,1.010,9.521,-6.165,26.672
-0.034,0.011,1.022,6.775,-5.920,19.226
-0.039,-0.004,1.042,5.554,-6.165,13.916
-0.044,0.002,1.042,5.676,-4.883,9.460
-0.057,-0.014,1.022,6.165,-3.845,4.883
-0.059,-0.067,1.075,4.333,-4.150,0.366
-0.058,-0.110,1.073,2.075,-2.930,-1.953
-0.054,-0.157,1.044,1.099,0.122,-2.441
-0.028,-0.147,1.028,0.916,0.916,-0.732
-0.023,-0.130,1.019,0.732,0.610,0.732
-0.028,-0.126,1.028,0.977,-0.305,2.136
-0.028,-0.111,1.037,1.892,-1.099,2.747
-0.038,-0.080,1.033,3.479,-0.916,3.296
-0.051,-0.076,1.009,4.822,-1.221,2.014
-0.046,-0.099,1.002,4.700,-2.380,-0.244
-0.044,-0.100,1.028,4.639,-3.845,-1.038
-0.049,-0.124,1.009,5.432,-3.845,-1.526
-0.058,-0.180,1.032,3.967,-4.028,-1.587
-0.044,-0.185,1.032,2.197,-3.845,1.221
-0.032,-0.136,1.022,2.380,-2.563,5.005
-0.044,-0.098,1.010,3.540,-2.563,7.019
-0.050,-0.075,1.022,3.113,-2.991,6.714
-0.067,-0.066,1.028,1.709,-2.808,5.615
-0.080,-0.070,1.013,2.197,-1.770,3.540
-0.074,-0.061,1.019,2.319,-1.465,1.831
-0.069,-0.051,1.020,1.892,-1.526,-0.183
-0.063,-0.064,1.006,2.197,-1.343,-2.930
-0.056,-0.089,1.014,2.075,-2.014,-5.310
-0.052,-0.094,1.040,2.686,-2.441,-6.165
-0.059,-0.122,1.049,3.052,-1.587,-6.714
-0.058,-0.147,1.040,2.380,-0.427,-6.226
-0.050,-0.166,1.045,1.526,0.427,-5.066
-0.044,-0.180,1.034,1.648,0.793,-2.808
-0.029,-0.132,1.031,1.282,1.709,0.305
-0.032,-0.098,1.027,1.221,0.977,1.770
-0.042,-0.080,1.017,1.343,1.099,1.587
-0.048,-0.075,1.013,1.770,0.854,0.488
-0.052,-0.088,1.027,2.747,-0.305,-1.160
-0.050,-0.094,1.031,2.991,-1.221,-2.686
-0.043,-0.119,1.037,3.357,-1.221,-3.662
-0.040,-0.123,1.021,2.930,-0.244,-3.357
-0.040,-0.132,1.025,1.831,0.000,-2.747
-0.040,-0.131,1.022,1.465,-0.061,-1.709
-0.041,-0.145,1.012,2.014,0.000,-0.671
-0.044,-0.152,1.029,2.319,-0.427,1.160
-0.043,-0.145,1.033,1.953,-0.488,2.991
-0.044,-0.134,1.039,1.221,0.183,4.883
-0.045,-0.110,1.031,0.183,0.854,5.798
-0.054,-0.097,1.025,-0.488,0.916,6.165
-0.059,-0.080,1.023,-0.244,0.061,5.310
-0.061,-0.087,1.021,0.610,-0.916,3.723
-0.062,-0.104,1.025,1.099,-1.221,2.380
-0.053,-0.109,1.026,0.916,-0.854,2.014
-0.048,-0.117,1.013,1.465,-0.244,1.831
-0.047,-0.133,1.021,2.075,-0.366,2.258
-0.046,-0.141,1.017,1.526,-0.793,3.052
-0.041,-0.143,1.030,0.305,-0.916,4.150
-0.045,-0.133,1.032,0.122,-1.160,5.310
-0.050,-0.106,1.033,0.305,-0.916,6.226
-0.060,-0.098,1.020,0.549,-0.305,6.409
-0.063,-0.094,1.019,0.671,-0.122,5.920
-0.055,-0.088,1.012,0.793,0.427,5.249
-0.045,-0.082,0.997,0.916,0.793,4.517
-0.039,-0.087,0.998,1.404,-0.183,3.601
-0.044,-0.100,1.004,2.319,-1.648,2.563
-0.052,-0.117,1.016,2.502,-2.502,2.136
-0.055,-0.137,1.020,2.380,-2.747,2.258
-0.052,-0.175,1.042,2.380,-2.808,3.357
-0.048,-0.169,1.036,1.953,-1.709,6.226
-0.044,-0.136,1.031,1.343,-0.610,9.033
-0.040,-0.106,1.018,1.648,-0.427,10.071
-0.043,-0.112,1.025,1.587,-0.977,10.071
-0.039,-0.105,1.033,1.160,-1.099,10.071
-0.036,-0.108,1.020,1.648,-0.549,9.949
-0.034,-0.114,1.012,3.113,-0.732,10.010
-0.039,-0.127,1.002,3.662,-1.526,10.132
-0.021,-0.101,1.033,3.357,-3.479,10.986
-0.030,-0.104,1.026,3.052,-3.601,10.803
-0.032,-0.107,1.023,2.930,-3.174,9.888
-0.036,-0.099,1.039,3.784,-3.906,10.010
-0.037,-0.077,1.040,6.226,-3.723,9.644
-0.053,-0.077,1.048,7.568,-3.540,8.240
-0.059,-0.076,1.064,7.141,-3.113,6.348
-0.055,-0.058,1.069,7.324,-1.892,4.395
-0.052,-0.038,1.061,9.155,-0.549,1.343
-0.010,0.083,1.072,11.902,0.427,-3.174
-0.036,0.271,1.026,11.658,3.357,-12.207
-0.051,0.585,0.959,7.141,4.150,-29.297
-0.128,0.792,0.938,0.244,-1.831,-56.763
-0.247,1.078,0.954,-10.925,-10.620,-96.985
-0.344,1.483,0.881,-18.188,-20.386,-150.024
-0.523,1.697,0.764,-19.653,-35.217,-226.501
-0.792,1.650,0.599,3.906,-60.181,-316.589
-1.004,0.960,0.922,39.307,-100.220,-412.964
-1.099,0.402,1.189,86.243,-99.915,-474.060
-0.980,0.003,1.406,133.301,-61.890,-494.873
-0.820,-0.468,1.384,141.724,-5.371,-504.517
-0.640,-0.904,1.175,133.057,51.270,-498.657
-0.500,-1.342,1.039,95.642,87.585,-476.135
-0.443,-1.604,1.185,52.368,92.712,-442.810

-0.233,-1.880,1.150,7.935,103.699,-332.642
-0.160,-1.584,0.897,-18.799,118.286,-229.858
-0.122,-1.148,0.746,-44.189,115.173,-130.188
-0.096,-0.777,0.686,-55.420,99.731,-60.364
0.002,-0.452,0.666,-50.720,75.623,-17.395
-0.164,-0.336,0.735,-33.569,42.053,6.897
-0.163,0.007,0.836,-22.644,8.240,21.851
-0.130,-0.045,1.030,-5.554,-16.968,9.399
-0.110,-0.158,1.133,-1.648,-21.912,-3.601
-0.095,-0.112,1.086,-7.568,-11.963,1.099
-0.096,-0.081,1.074,-7.324,-5.066,6.653
-0.110,-0.146,1.094,-1.160,-3.662,7.812
-0.098,-0.192,1.069,5.554,-0.977,11.536
-0.073,-0.147,1.027,11.230,1.099,19.653
-0.045,-0.098,1.001,17.334,-0.244,25.879
-0.029,-0.055,1.007,23.682,-3.296,28.748
-0.011,-0.010,1.020,24.658,-4.944,28.748
-0.002,-0.017,1.008,23.560,-4.517,25.085
-0.010,-0.019,1.002,21.912,-4.395,21.484
-0.032,0.027,0.989,18.250,-4.456,19.165
-0.051,0.039,0.956,8.545,-4.395,14.160
-0.062,0.038,0.973,-0.427,-5.188,8.057
-0.076,-0.013,1.012,-5.127,-6.592,2.441
-0.084,-0.078,1.023,-4.883,-5.188,-0.427
-0.078,-0.090,1.013,-3.113,-2.930,1.404
-0.067,-0.082,1.011,-0.916,-0.732,4.639
-0.057,-0.089,1.003,2.258,0.732,6.775
-0.046,-0.100,0.992,5.371,1.465,8.240
-0.051,-0.116,0.996,6.775,1.038,9.705
-0.055,-0.149,1.001,7.324,-0.183,10.681
-0.055,-0.115,1.001,8.179,-1.404,13.428
-0.059,-0.081,0.996,8.850,-2.380,14.709
-0.068,-0.079,0.990,7.996,-2.869,13.123
