aX,aY,aZ,gX,gY,gZ
-0.120,-1.414,0.994,-8.972,93.384,163.269
-0.253,-1.218,0.902,5.249,108.337,244.995
-0.496,-1.303,0.958,33.569,105.164,306.519
-0.925,-1.482,0.977,60.486,98.083,361.206
-1.077,-0.782,1.317,97.839,85.083,438.904
-0.913,0.206,1.269,163.696,65.552,487.610
-0.649,0.820,1.212,169.189,39.368,468.262
-0.445,1.119,1.386,142.761,8.545,411.133
-0.280,1.122,1.531,118.591,-2.258,339.233
-0.131,0.771,1.254,78.796,15.137,261.230
0.028,0.350,0.937,39.185,33.203,194.946
0.129,0.164,0.749,15.930,31.311,161.865
0.183,0.251,0.608,-0.244,23.987,151.001
0.123,0.401,0.571,-0.427,7.263,143.921
0.070,0.292,0.638,0.732,-14.587,126.526
0.039,0.342,0.713,-1.343,-32.715,110.229
-0.015,0.288,0.970,2.136,-51.941,90.027
-0.050,0.179,1.067,9.583,-56.824,66.711
-0.026,0.118,1.191,18.250,-53.406,48.462
0.009,0.066,1.251,22.766,-44.189,33.081
0.044,0.058,1.238,23.499,-29.419,18.250
0.013,0.037,1.146,20.569,-15.503,2.014
0.006,-0.123,1.087,15.991,-7.202,-14.587
0.041,-0.234,1.016,10.071,-2.197,-24.475
0.071,-0.281,0.973,5.066,0.061,-25.208
0.094,-0.303,0.954,0.793,-0.061,-22.217
0.109,-0.257,0.963,-0.122,-1.282,-16.418
0.102,-0.209,0.952,1.404,-1.892,-11.475
0.092,-0.175,0.971,2.441,-3.174,-9.033
0.084,-0.150,0.992,3.540,-4.395,-8.911
0.073,-0.174,0.996,4.028,-4.639,-10.742
0.067,-0.196,1.007,5.371,-5.615,-12.390
0.061,-0.226,1.012,6.531,-6.409,-12.878
0.056,-0.254,1.031,6.409,-6.775,-12.390
0.057,-0.221,1.040,5.920,-6.470,-10.559
0.047,-0.184,1.043,6.348,-5.554,-9.521
0.036,-0.169,1.031,6.226,-4.333,-10.376
0.033,-0.196,1.013,6.348,-3.357,-12.085
0.034,-0.246,1.002,5.737,-3.174,-13.062
0.038,-0.231,1.004,6.470,-3.357,-10.864
0.041,-0.226,1.001,7.263,-3.540,-8.728
0.049,-0.244,0.999,6.348,-3.357,-7.568
0.055,-0.229,0.998,5.737,-3.540,-6.165
0.045,-0.213,1.012,5.737,-4.211,-4.517
0.036,-0.216,1.018,5.981,-3.967,-4.028
0.031,-0.214,1.020,5.615,-3.479,-3.357
0.031,-0.190,1.018,5.371,-2.869,-3.052
0.035,-0.167,1.018,4.456,-2.502,-3.601
0.035,-0.195,1.019,3.967,-2.258,-5.493
0.043,-0.215,1.019,2.930,-1.099,-6.348
0.044,-0.215,1.016,2.197,-0.732,-5.798
0.041,-0.215,1.018,2.869,-0.427,-5.371
0.045,-0.219,1.021,2.808,-0.549,-4.333
0.050,-0.215,1.027,3.418,-0.183,-3.784
0.045,-0.220,1.040,4.028,-0.793,-3.540
0.037,-0.223,1.052,3.662,-0.916,-3.235
0.030,-0.247,1.048,2.930,-0.122,-2.625
0.028,-0.239,1.028,2.502,1.099,-1.038
0.030,-0.226,1.017,2.930,1.465,0.671
0.035,-0.211,1.006,3.052,0.977,1.160
0.032,-0.205,1.008,2.502,-0.244,1.831
0.032,-0.218,1.007,1.953,-0.793,1.343
0.032,-0.217,1.013,2.502,-1.099,1.465
0.029,-0.206,1.036,2.563,-2.136,1.953
0.022,-0.185,1.029,3.113,-1.465,1.526
0.017,-0.199,1.016,2.869,-0.977,0.061
0.025,-0.217,1.018,2.014,-1.221,-1.404
0.033,-0.226,1.024,1.404,-1.709,-1.953
0.038,-0.220,1.021,1.404,-1.465,-1.282
0.045,-0.223,1.021,1.892,-1.282,-0.610
0.050,-0.231,1.017,2.014,-0.916,-0.122
0.052,-0.220,1.013,1.892,-0.977,0.488
0.047,-0.210,1.014,2.258,-1.465,0.732
0.044,-0.215,1.012,2.075,-1.648,0.549
0.042,-0.222,1.010,1.465,-1.953,0.793
0.043,-0.227,1.013,1.038,-1.648,1.160
0.046,-0.221,1.006,1.038,-1.038,1.648
0.043,-0.221,1.002,2.197,-1.221,2.258
0.038,-0.213,1.003,2.319,-2.075,2.991
0.033,-0.206,1.015,1.953,-2.625,3.113
0.030,-0.219,1.025,1.709,-3.235,2.380
0.025,-0.231,1.029,1.404,-3.174,1.892
0.022,-0.223,1.033,1.038,-2.747,2.197
0.024,-0.201,1.012,0.977,-1.770,2.563
0.028,-0.207,1.001,1.404,-0.977,1.343
0.031,-0.214,0.985,1.770,-1.282,0.366
0.031,-0.204,0.999,2.747,-2.502,0.732
0.025,-0.220,0.998,3.723,-3.113,-0.122
0.020,-0.221,1.003,3.662,-3.357,-0.366
0.018,-0.215,1.017,3.479,-3.418,-0.366
0.021,-0.223,1.018,3.174,-2.625,-0.916
0.027,-0.232,1.013,2.258,-1.892,-1.160
0.033,-0.230,1.008,1.892,-1.465,-0.671
0.037,-0.215,1.002,2.319,-1.099,-0.549
0.038,-0.208,1.004,2.625,-1.404,-0.122
0.034,-0.211,1.000,2.991,-0.977,-0.671
0.036,-0.213,1.000,3.601,-1.099,-1.038
0.033,-0.220,1.007,4.089,-1.526,-1.465
0.033,-0.231,1.009,4.456,-1.648,-1.587
