aX,aY,aZ,gX,gY,gZ
-0.230,-0.214,2.592,85.510,-177.551,16.357
-0.215,-0.102,2.712,65.247,-126.587,15.930
-0.226,-0.011,2.587,55.969,-72.571,11.108
-0.196,-0.055,2.314,41.504,-19.714,2.136
-0.231,-0.059,1.923,32.166,22.461,-4.578
-0.261,-0.037,1.572,20.081,50.171,-4.761
-0.252,-0.092,1.301,5.737,62.256,-5.737
-0.235,-0.132,1.035,-2.686,61.890,-6.042
-0.204,-0.151,0.904,-12.207,49.866,-4.150
-0.184,-0.144,0.866,-18.127,30.884,-1.831
-0.188,-0.101,0.910,-24.780,12.329,-0.122
-0.193,-0.065,1.013,-30.090,-3.723,0.427
-0.169,-0.080,1.135,-31.433,-13.733,-0.854
-0.156,-0.069,1.253,-33.630,-17.273,-0.916
-0.154,-0.065,1.371,-34.119,-14.526,-1.160
-0.149,-0.052,1.401,-31.555,-6.775,-1.648
-0.121,-0.068,1.370,-32.532,3.601,-2.197
-0.093,-0.083,1.323,-33.997,14.160,-3.174
-0.070,-0.112,1.203,-30.334,24.048,-4.883
-0.054,-0.086,1.053,-23.315,30.457,-5.920
-0.046,-0.127,0.962,-17.334,33.020,-8.118
-0.038,-0.133,0.880,-12.146,33.325,-8.850
-0.042,-0.107,0.787,-7.935,31.128,-6.714
-0.043,-0.104,0.741,-6.042,24.902,-5.615
-0.045,-0.098,0.746,-7.019,15.808,-4.089
-0.043,-0.092,0.780,-9.155,6.042,-2.258
-0.039,-0.089,0.850,-14.709,-3.113,-0.610
-0.034,-0.095,0.939,-17.761,-9.216,0.244
-0.034,-0.096,1.031,-15.808,-11.414,1.038
-0.050,-0.067,1.080,-10.681,-9.766,2.319
-0.055,-0.072,1.068,-6.348,-5.859,2.747
-0.073,-0.046,1.066,-4.456,-2.869,3.662
-0.076,-0.046,0.999,-3.601,0.427,3.906
-0.075,-0.053,0.972,-4.700,2.075,3.601
-0.074,-0.050,0.957,-6.836,2.197,4.150
-0.079,-0.029,0.928,-5.188,2.197,4.578
-0.092,-0.034,0.906,-0.610,0.671,3.418
-0.090,-0.030,0.914,3.174,-2.136,2.869
-0.083,-0.045,0.941,9.033,-4.211,1.831
-0.093,-0.035,0.965,13.550,-5.432,1.343
-0.102,-0.035,0.979,11.719,-6.409,1.282
-0.099,-0.042,1.020,4.211,-8.057,1.221
-0.098,-0.042,1.058,-1.587,-8.850,1.038
-0.095,-0.062,1.073,-4.578,-7.629,0.549
-0.088,-0.059,1.095,-4.578,-6.165,0.977
-0.089,-0.056,1.059,-1.465,-3.418,1.526
-0.094,-0.047,1.012,0.854,-1.221,1.770
-0.094,-0.038,0.995,2.441,-1.221,1.587
-0.092,-0.061,0.985,2.686,-2.441,1.038
-0.095,-0.054,0.996,-1.038,-3.784,1.526
-0.096,-0.055,1.032,-6.287,-5.737,2.502
-0.098,-0.045,1.048,-7.874,-7.019,2.808
-0.100,-0.026,1.067,-5.920,-7.263,3.113
-0.108,-0.019,1.069,-2.075,-6.592,1.953
-0.103,-0.029,1.076,1.831,-5.371,0.854
-0.102,-0.019,1.075,4.639,-4.272,0.366
-0.105,-0.022,1.067,6.409,-3.174,-0.183
-0.104,-0.013,1.043,4.761,-2.380,-0.244
-0.102,-0.016,1.042,1.282,-2.136,-0.549
-0.110,-0.016,1.053,-0.061,-2.686,-1.587
-0.098,-0.027,1.039,1.038,-2.319,-2.014
-0.096,-0.037,1.042,1.831,-2.319,-2.441
-0.095,-0.038,1.055,1.282,-2.808,-2.075
-0.089,-0.033,1.079,-0.305,-2.930,-1.709
-0.084,-0.041,1.090,0.183,-2.502,-2.197
-0.083,-0.041,1.082,0.977,-1.160,-2.625
-0.086,-0.036,1.087,2.075,-0.061,-2.747
-0.083,-0.041,1.065,3.113,1.526,-2.991
-0.083,-0.032,1.047,3.845,2.625,-2.991
-0.080,-0.043,1.024,5.066,2.869,-3.479
-0.074,-0.053,1.006,6.226,2.686,-3.601
-0.078,-0.040,1.000,5.615,1.465,-2.991
-0.080,-0.047,0.994,3.967,0.122,-2.747
-0.072,-0.062,1.001,1.587,-1.404,-2.502
-0.073,-0.061,1.031,-0.916,-2.563,-1.526
-0.077,-0.058,1.047,-1.648,-2.869,-0.732
-0.082,-0.059,1.071,-1.709,-2.197,-0.305
-0.087,-0.051,1.094,0.244,-1.526,0.000
-0.078,-0.052,1.080,1.648,0.488,0.427
-0.086,-0.037,1.078,2.319,1.953,0.366
-0.083,-0.036,1.037,2.441,3.174,0.061
-0.087,-0.060,1.013,1.099,3.845,-0.671
-0.084,-0.023,0.993,1.953,3.540,-1.221
-0.087,-0.052,0.958,3.601,3.357,0.061
-0.093,-0.043,0.979,3.906,1.099,0.061
-0.091,-0.037,0.990,5.066,-0.916,0.549
-0.090,-0.043,0.993,5.066,-1.892,0.488
-0.087,-0.041,1.012,3.662,-3.113,0.610
-0.084,-0.050,1.040,1.343,-3.479,0.244
-0.078,-0.051,1.034,0.610,-2.563,0.061
-0.080,-0.051,1.035,0.793,-1.831,-0.061
-0.087,-0.052,1.028,1.099,-1.038,-0.549
-0.091,-0.049,1.030,1.465,-0.977,-0.610
-0.093,-0.050,1.021,1.831,-1.099,-0.610
-0.096,-0.045,1.015,1.587,-1.709,-0.916
-0.097,-0.047,1.015,0.244,-2.380,-0.549
-0.094,-0.038,1.022,-1.099,-2.747,0.000
-0.096,-0.032,1.011,0.854,-2.747,0.122
-0.098,-0.037,1.008,1.953,-2.747,-0.427
-0.097,-0.032,1.022,1.099,-3.418,-0.549
-0.096,-0.037,1.024,0.793,-3.784,-0.610
-0.094,-0.045,1.035,0.488,-3.967,-0.793
-0.098,-0.026,1.057,-0.122,-3.967,-0.366
-0.094,-0.044,1.053,1.465,-2.991,-0.854
-0.094,-0.038,1.056,2.686,-1.831,-0.610
-0.091,-0.038,1.040,3.357,-1.038,-0.427
-0.087,-0.053,1.030,3.967,-0.427,-1.160
-0.084,-0.048,1.028,4.395,-0.671,-1.099
-0.083,-0.051,1.003,5.249,-0.671,-1.160
-0.095,-0.052,1.014,4.944,-1.709,-1.526
-0.099,-0.038,1.014,3.357,-3.235,-1.160
-0.091,-0.051,1.025,0.183,-4.150,-1.160
-0.086,-0.054,1.056,-1.892,-5.127,-1.221
-0.097,-0.044,1.084,-2.808,-5.066,-0.488
-0.097,-0.031,1.082,-2.930,-4.211,0.061
-0.099,-0.025,1.088,-3.845,-3.113,0.061
-0.098,-0.033,1.071,-3.540,-1.648,-1.038
-0.097,-0.030,1.067,-1.221,-0.610,-1.831
-0.101,-0.035,1.026,1.526,0.732,-2.502

-0.201,0.032,2.253,-7.874,-68.115,17.822
-0.187,0.072,1.971,-11.292,-24.414,13.977
-0.152,-0.013,1.728,-6.775,8.972,6.165
-0.167,-0.004,1.416,2.075,35.034,1.526
-0.191,-0.005,1.094,14.771,51.880,-2.686
-0.197,-0.041,0.842,25.146,55.298,-6.836
-0.195,-0.073,0.719,27.344,46.265,-6.958
-0.201,-0.074,0.655,22.461,29.541,-4.028
-0.208,-0.055,0.688,11.841,8.057,0.549
-0.205,-0.038,0.818,1.709,-12.695,4.150
-0.195,-0.022,1.006,-6.531,-28.625,4.944
-0.202,-0.034,1.138,-13.062,-38.025,4.150
-0.185,-0.017,1.254,-21.729,-40.833,4.272
-0.170,-0.010,1.413,-29.297,-39.063,3.174
-0.158,-0.019,1.453,-27.527,-28.381,0.122
-0.138,-0.054,1.432,-20.081,-12.634,-2.686
